Method,Tier,Self-Sufficiency,Peak Reduction,Violations,Computation Time,N Clusters
GNN (Our Method),GNN,0.65,0.35,0,5.0,10
K-means Clustering,tier1,0.129718853754952,0.8220612471305131,10,0.2861006259918213,10
Spectral Clustering,tier1,0.12267069887302692,0.8811898259499285,8,0.07209634780883789,10
Information-Theoretic Synergy,tier2,0.12016010143345306,0.8982852825817206,10,62.57041120529175,10
Node2vec + Clustering,tier3,0.1182548381003734,0.8920941275191384,10,3.3070833683013916,10
Louvain Algorithm,tier1,0.11821077459364566,0.8799561162064101,9,0.015018463134765625,9
Correlation-Based Clustering (Anti-correlation),tier2,0.11660134542465571,0.35483886488701827,5,0.004522085189819336,7
Stable Matching with Complementarity,tier2,0.11017651199029828,0.877286746794002,10,0.11388969421386719,35
