Method,Tier,Self-Sufficiency,Peak Reduction,Violations,Computation Time,N Clusters
GNN (Our Method),GNN,0.65,0.35,0,5.0,10
K-means Clustering,tier1,0.129718853754952,0.8220612471305131,10,0.3029336929321289,10
Node2vec + Clustering,tier3,0.1186513234269597,0.9020222943433214,10,1.4200928211212158,10
Spectral Clustering,tier1,0.11765448208160137,0.8993202472997206,10,0.07187986373901367,10
Information-Theoretic Synergy,tier2,0.11759997714508193,0.8968729624543341,10,5.126073360443115,10
Louvain Algorithm,tier1,0.11753175075796501,0.8720969928099314,8,0.019995927810668945,8
Correlation-Based Clustering (Anti-correlation),tier2,0.11660134542465571,0.35483886488701827,5,0.005999088287353516,7
Stable Matching with Complementarity,tier2,0.11017651199029828,0.877286746794002,10,0.0945441722869873,35
